longitude,latitude,light_intensity
73.35000011,0,0
73.35416677,0,0
73.35833344,0,0
73.36250011,0,0
73.36666677,0,0
73.37083344,0,0
73.37500011,0,0
73.37916677,0,0
73.38333344,0,0
73.38750011,0,0
73.39166677,0,0
73.39583344,0,0
73.40000011,0,0
73.40416677,0,0
73.40833344,0,0
73.41250011,0,0
73.41666677,0,0
73.42083344,0,0
73.42500011,0,0
73.42916677,0,0
73.43333344,0,0
73.43750011,0,0
73.44166677,0,0
73.44583344,0,0
73.45000011,0,0
73.45416677,0,0
73.45833344,0,0
73.46250011,0,0
73.46666677,0,0
73.47083344,0,0
73.47500011,0,0
73.47916677,0,0
73.48333344,0,0
73.48750011,0,0
73.49166677,0,0
73.49583344,0,0
73.50000011,0,0
73.50416677,0,0
73.50833344,0,0
73.51250011,0,0
73.51666677,0,0
73.52083344,0,0
73.52500011,0,0
73.52916677,0,0
73.53333344,0,0
73.53750011,0,0
73.54166678,0,0
73.54583344,0,0
73.55000011,0,0
73.55416678,0,0
73.55833344,0,0
73.56250011,0,0
73.56666678,0,0
73.57083344,0,0
73.57500011,0,0
73.57916678,0,0
73.58333344,0,0
73.58750011,0,0
73.59166678,0,0
73.59583344,0,0
73.60000011,0,0
73.60416678,0,0
73.60833344,0,0
73.61250011,0,0
73.61666678,0,0
73.62083344,0,0
73.62500011,0,0
73.62916678,0,0
73.63333344,0,0
73.63750011,0,0
73.64166678,0,0
73.64583344,0,0
73.65000011,0,0
73.65416678,0,0
73.65833344,0,0
73.66250011,0,0
73.66666678,0,0
73.67083344,0,0
73.67500011,0,0
73.67916678,0,0
73.68333344,0,0
73.68750011,0,0
73.69166678,0,0
73.69583344,0,0
73.70000011,0,0
73.70416678,0,0
73.70833344,0,0
73.71250011,0,0
73.71666678,0,0
73.72083344,0,0
73.72500011,0,0
73.72916678,0,0
73.73333344,0,0
73.73750011,0,0
73.74166678,0,0
73.74583344,0,0
73.75000011,0,0
73.75416678,0,0
73.75833344,0,0
72.6375001,-0.004166667,0.22
72.64166677,-0.004166667,0.19
72.64583343,-0.004166667,0.36
72.6500001,-0.004166667,0.5
72.65416677,-0.004166667,0.55
72.65833343,-0.004166667,0.35
72.6625001,-0.004166667,0.49
72.66666677,-0.004166667,0.55
72.67083343,-0.004166667,0.44
72.6750001,-0.004166667,0.42
72.67916677,-0.004166667,0.35
72.68333343,-0.004166667,0.13
